"individualID","individualIdSource","species","sex","genotype","genotypeBackground","room","litter","matingID","dateBirth","dateDeath","treatmentType","age"
"APOE4-16",NA,"Mouse","female","APOE4","C57BL/6","Mayo_GB436","APOE4-16",NA,"10/25/2016","01/23/2017",NA,NA
"APOE2-15",NA,"Mouse","female","APOE2","C57BL/6","Mayo_GB436","APOE2-15",NA,"08/25/2016","11/23/2016",NA,NA
"APOE2-9",NA,"Mouse","female","APOE2","C57BL/6","Mayo_GB436","APOE2-9",NA,"08/25/2016","11/23/2016",NA,NA
"APOE3-4",NA,"Mouse","male","APOE3","C57BL/6","Mayo_GB436","APOE3-4",NA,"11/08/2016","02/09/2017",NA,NA
"APOE3-8",NA,"Mouse","male","APOE3","C57BL/6","Mayo_GB436","APOE3-8",NA,"09/14/2016","12/13/2016",NA,NA
"APOE4-7",NA,"Mouse","male","APOE4","C57BL/6","Mayo_GB436","APOE4-7",NA,"10/05/0016","01/03/2017",NA,NA
"APOE4-2",NA,"Mouse","male","APOE4","C57BL/6","Mayo_GB436","APOE4-2",NA,"10/25/2016","01/23/2017",NA,NA
"APOE4-6",NA,"Mouse","male","APOE4","C57BL/6","Mayo_GB436","APOE4-6",NA,"10/25/2016","01/23/2017",NA,NA
"APOE2-3",NA,"Mouse","male","APOE2","C57BL/6","Mayo_GB436","APOE2-3",NA,"10/27/2016","01/25/2017",NA,NA
"APOE3-1",NA,"Mouse","male","APOE3","C57BL/6","Mayo_GB436","APOE3-1",NA,"08/25/2016","11/23/2016",NA,NA
"APOE3-3",NA,"Mouse","male","APOE3","C57BL/6","Mayo_GB436","APOE3-3",NA,"11/08/2016","02/09/2017",NA,NA
"APOE3-16",NA,"Mouse","female","APOE3","C57BL/6","Mayo_GB436","APOE3-16",NA,"11/08/2016","02/09/2017",NA,NA
"APOE4-14",NA,"Mouse","female","APOE4","C57BL/6","Mayo_GB436","APOE4-14",NA,"01/10/2017","04/03/2017",NA,NA
"APOE3-14",NA,"Mouse","female","APOE3","C57BL/6","Mayo_GB436","APOE3-14",NA,"09/14/2016","12/13/2016",NA,NA
"APOE3-6",NA,"Mouse","male","APOE3","C57BL/6","Mayo_GB436","APOE3-6",NA,"11/08/2016","02/09/2017",NA,NA
"APOE3-9",NA,"Mouse","female","APOE3","C57BL/6","Mayo_GB436","APOE3-9",NA,"08/25/2016","11/23/2016",NA,NA
"APOE4-8",NA,"Mouse","male","APOE4","C57BL/6","Mayo_GB436","APOE4-8",NA,"10/05/0016","01/03/2017",NA,NA
"APOE2-1",NA,"Mouse","male","APOE2","C57BL/6","Mayo_GB436","APOE2-1",NA,"08/25/2016","11/23/2016",NA,NA
"APOE4-4",NA,"Mouse","male","APOE4","C57BL/6","Mayo_GB436","APOE4-4",NA,"10/25/2016","01/23/2017",NA,NA
"APOE4-5",NA,"Mouse","male","APOE4","C57BL/6","Mayo_GB436","APOE4-5",NA,"10/25/2016","01/23/2017",NA,NA
"APOE4-10",NA,"Mouse","female","APOE4","C57BL/6","Mayo_GB436","APOE4-10",NA,"09/08/2016","12/07/2016",NA,NA
"APOE2-8",NA,"Mouse","male","APOE2","C57BL/6","Mayo_GB436","APOE2-8",NA,"09/07/2016","12/06/2016",NA,NA
"APOE3-11",NA,"Mouse","female","APOE3","C57BL/6","Mayo_GB436","APOE3-11",NA,"08/25/2016","11/23/2016",NA,NA
"APOE2-10",NA,"Mouse","female","APOE2","C57BL/6","Mayo_GB436","APOE2-10",NA,"10/27/2016","01/25/2017",NA,NA
"APOE3-2",NA,"Mouse","male","APOE3","C57BL/6","Mayo_GB436","APOE3-2",NA,"11/08/2016","02/09/2017",NA,NA
"APOE3-15",NA,"Mouse","female","APOE3","C57BL/6","Mayo_GB436","APOE3-15",NA,"09/14/2016","12/13/2016",NA,NA
"APOE2-7",NA,"Mouse","male","APOE2","C57BL/6","Mayo_GB436","APOE2-7",NA,"09/07/2016","12/06/2016",NA,NA
"APOE2-14",NA,"Mouse","female","APOE2","C57BL/6","Mayo_GB436","APOE2-14",NA,"08/25/2016","11/23/2016",NA,NA
"APOE2-5",NA,"Mouse","male","APOE2","C57BL/6","Mayo_GB436","APOE2-5",NA,"09/07/2016","12/06/2016",NA,NA
"APOE4-1",NA,"Mouse","male","APOE4","C57BL/6","Mayo_GB436","APOE4-1",NA,"08/15/2016","11/11/2016",NA,NA
"APOE4-11",NA,"Mouse","female","APOE4","C57BL/6","Mayo_GB436","APOE4-11",NA,"01/10/2017","04/03/2017",NA,NA
"APOE2-4",NA,"Mouse","male","APOE2","C57BL/6","Mayo_GB436","APOE2-4",NA,"09/07/2016","12/06/2016",NA,NA
"APOE2-2",NA,"Mouse","male","APOE2","C57BL/6","Mayo_GB436","APOE2-2",NA,"10/27/2016","01/25/2017",NA,NA
"APOE4-15",NA,"Mouse","female","APOE4","C57BL/6","Mayo_GB436","APOE4-15",NA,"01/10/2017","04/03/2017",NA,NA
"APOE2-12",NA,"Mouse","female","APOE2","C57BL/6","Mayo_GB436","APOE2-12",NA,"10/27/2016","01/25/2017",NA,NA
