Gene stable ID	Gene stable ID version	Mouse gene name	Gene name
ENSDARG00000063344	ENSDARG00000063344.8	Fam162b	fam162a
ENSDARG00000097685	ENSDARG00000097685.3		si:ch211-235i11.3
ENSDARG00000036008	ENSDARG00000036008.8	Caly	caly
ENSDARG00000069301	ENSDARG00000069301.7	Tmem177	tmem177
ENSDARG00000104901	ENSDARG00000104901.2	Ostc	ostc
ENSDARG00000031836	ENSDARG00000031836.8	Vps37c	vps37c
ENSDARG00000103391	ENSDARG00000103391.2	Rab9b	rab9b
ENSDARG00000030463	ENSDARG00000030463.9	Tppp3	tppp3
ENSDARG00000103031	ENSDARG00000103031.2		znf1029
ENSDARG00000070447	ENSDARG00000070447.6	Slc39a9	slc39a9
ENSDARG00000080018	ENSDARG00000080018.5		kif16bb
ENSDARG00000036109	ENSDARG00000036109.4	Mtx1	mtx1b
ENSDARG00000029612	ENSDARG00000029612.9	Gpkow	gpkow
ENSDARG00000075759	ENSDARG00000075759.5	Samd4	samd4a
ENSDARG00000068484	ENSDARG00000068484.6		CABZ01100185.1
ENSDARG00000057635	ENSDARG00000057635.7	Dync2i2	wdr34
ENSDARG00000032737	ENSDARG00000032737.8		gria3a
ENSDARG00000053517	ENSDARG00000053517.8	Eml5	EML5
ENSDARG00000111826	ENSDARG00000111826.1		zgc:174354
ENSDARG00000098335	ENSDARG00000098335.2		BX537137.2
ENSDARG00000092715	ENSDARG00000092715.3		CR847503.1
ENSDARG00000095834	ENSDARG00000095834.2		AL954317.1
ENSDARG00000015793	ENSDARG00000015793.10	Creb3l1	creb3l1
ENSDARG00000044573	ENSDARG00000044573.8	Cdc42	cdc42
ENSDARG00000025206	ENSDARG00000025206.10	Syt2	syt2a
ENSDARG00000042189	ENSDARG00000042189.7		tspan33b
ENSDARG00000076270	ENSDARG00000076270.7	Adamts13	adamts13
ENSDARG00000045415	ENSDARG00000045415.8	Gnal	gnal
ENSDARG00000100099	ENSDARG00000100099.2		si:dkey-238o14.1
ENSDARG00000087916	ENSDARG00000087916.3	Tmem240	tmem240a
ENSDARG00000023058	ENSDARG00000023058.5	Foxo6	foxo3a
ENSDARG00000100738	ENSDARG00000100738.2	Lifr	osmr
ENSDARG00000097888	ENSDARG00000097888.2		BX293559.1
ENSDARG00000067711	ENSDARG00000067711.5	Parvg	parvg
ENSDARG00000091834	ENSDARG00000091834.4		si:ch211-198m17.1
